PEER1,PEER2,PEER3,PEER4,PEER5,PEER6,Donor
-0.011795523576438427,-0.08220184594392776,-0.05721482262015343,-0.033487241715192795,0.06409681588411331,0.084913469851017,AM7180
0.08123227208852768,-0.08040545880794525,0.046496763825416565,-0.023450253531336784,0.040134247392416,-0.10440128296613693,AM7181
0.03131580725312233,0.012981810607016087,-0.12610843777656555,-0.08889490365982056,0.020780686289072037,-0.06534645706415176,AM7182
0.03808578848838806,0.07738935947418213,-0.10330980271100998,-0.037758950144052505,0.07620017230510712,0.01783868297934532,AM7188
0.03427739441394806,-0.0671699121594429,-0.02856924757361412,-0.04042866826057434,0.1137063279747963,0.020695028826594353,AM7189
0.030729170888662338,0.1447119116783142,-0.07929359376430511,-0.01309684757143259,-0.0163571834564209,-0.006947997957468033,AM7196
0.0282330010086298,0.0339118055999279,-0.10179878026247025,-0.1187361478805542,0.05343049764633179,0.047677408903837204,AM7197
0.1653444916009903,-2.64536589384079e-4,0.026569031178951263,0.05116698518395424,0.14383666217327118,-0.08180686086416245,AM7203
0.03178045526146889,0.1417708843946457,0.033221520483493805,0.18781301379203796,0.11768113821744919,0.05528968572616577,AM7204
0.08859439939260483,-0.04818723350763321,-0.001864426420070231,0.037218861281871796,0.16042202711105347,0.0018538017757236958,AM7205
0.1837082803249359,0.042130179703235626,0.0953923836350441,-0.10820126533508301,-0.05659845098853111,0.0861910954117775,AM7208
0.20833280682563782,0.07508490979671478,0.07980246096849442,-0.1082732081413269,0.09468819946050644,0.18448147177696228,AM7209
0.21101678907871246,0.04378550872206688,0.17001035809516907,-0.0646858662366867,0.036575108766555786,0.18140189349651337,AM7211
0.2611219584941864,0.06112787872552872,0.1759781837463379,-0.07286788523197174,-0.03651554882526398,0.11002564430236816,AM7213
0.15205052495002747,-0.019107529893517494,0.199728325009346,-0.13150343298912048,-0.22276747226715088,-0.05779712274670601,AM7214
0.2637780010700226,0.07971831411123276,0.1832893192768097,-0.11444246768951416,-0.05683152750134468,-0.008431520313024521,AM7215
0.24206630885601044,0.05878249555826187,0.1460426151752472,-0.10562827438116074,-0.1471395492553711,-0.03968369960784912,AM7216
-0.08338682353496552,0.0972278043627739,0.04808319732546806,0.03382246568799019,-0.018155749887228012,0.019301557913422585,AM7221
0.03338935971260071,0.13892017304897308,-0.05010518804192543,0.18283198773860931,-0.12937906384468079,-0.048700299113988876,AM7223
0.06558559089899063,0.09212979674339294,-0.1403406858444214,0.05493413284420967,-0.06620968133211136,-0.06034213677048683,AM7224
0.03716996684670448,0.11575042456388474,0.013110058382153511,0.21433565020561218,-0.027458682656288147,-0.049165863543748856,AM7226
-0.02199193835258484,0.11129582673311234,-0.017258748412132263,0.167408287525177,-0.012607882730662823,-0.08690974861383438,AM7228
0.018329957500100136,0.07421517372131348,-0.10974384099245071,-0.005359746515750885,0.06027929112315178,-0.09077609330415726,AM7229
