PEER1,PEER2,Donor
-0.01243913546204567,-0.08145065605640411,AM7180
0.08173887431621552,-0.07936044782400131,AM7181
0.03314489126205444,0.015996437519788742,AM7182
0.03848273679614067,0.07988537847995758,AM7188
0.03341463580727577,-0.06458527594804764,AM7189
0.03218790888786316,0.14515434205532074,AM7196
0.02950706146657467,0.035272687673568726,AM7197
0.1663481742143631,0.0014456893550232053,AM7203
0.030967315658926964,0.13936614990234375,AM7204
0.08789047598838806,-0.04790476709604263,AM7205
0.1841995269060135,0.04237758368253708,AM7208
0.20754659175872803,0.07585687190294266,AM7209
0.2099158614873886,0.042387958616018295,AM7211
0.26134783029556274,0.06151966005563736,AM7213
0.1540590226650238,-0.01830994337797165,AM7214
0.2646275460720062,0.08290406316518784,AM7215
0.2441660463809967,0.05830658599734306,AM7216
-0.08376957476139069,0.09656265377998352,AM7221
0.035803116858005524,0.13497456908226013,AM7223
0.06870447844266891,0.09103067219257355,AM7224
0.0367647185921669,0.11438911408185959,AM7226
-0.020147019997239113,0.11032374203205109,AM7228
0.020421430468559265,0.07741880416870117,AM7229
0.0049566724337637424,0.11828581988811493,AM7230
0.030589643865823746,0.1364026814699173,AM7236
0.06517987698316574,0.10788320004940033,AM7237
0.08342587947845459,0.019972432404756546,AM7241
0.06091725081205368,0.0059795137494802475,AM7242
0.05072898790240288,-0.09119332581758499,AM7243
0.09580886363983154,-0.05865257605910301,AM7255
0.046158723533153534,-0.01648019067943096,AM7256
-0.04756283387541771,0.08309701830148697,AM7260
0.018315695226192474,0.09630020707845688,AM7261
0.011540370993316174,0.040686652064323425,AM7266
0.07787129282951355,0.015302693471312523,AM7269
-0.008323799818754196,0.08570332080125809,AM7270
0.013362672179937363,0.12129450589418411,AM7272
-0.030996162444353104,0.11552974581718445,AM7273
-0.008286074735224247,-0.06855295598506927,AM7277
-0.0789104774594307,0.037616003304719925,AM7278
-0.10811637341976166,0.048838306218385696,AM7280
-0.14638347923755646,-0.0020290932152420282,AM7283
-0.1724269688129425,0.004898597951978445,AM7284
-0.13470223546028137,-0.03866495192050934,AM7285
0.028391454368829727,0.01012249942868948,AM7294
-0.07508634775876999,-0.016055602580308914,AM7295
-0.1485326737165451,-0.06979267299175262,AM7302
-0.09500162303447723,0.015884889289736748,AM7303
-0.08179621398448944,-0.05293821543455124,AM7304
-0.10253985971212387,0.126253142952919,AM7312
-0.15512524545192719,-0.021097378805279732,AM7313
-0.1204838827252388,-0.015631383284926414,AM7318
-0.02368743158876896,-0.06443268805742264,AM7319
-0.11748877912759781,0.123961441218853,AM7320
-0.13529931008815765,0.03098081424832344,AM7321
-0.09013032913208008,0.08457766473293304,AM7323
-0.041044797748327255,-0.004229941871017218,AM7325
-0.14131885766983032,0.08336589485406876,AM7327
0.016777249053120613,-0.09685228765010834,AM7328
0.006066353991627693,-0.0437750443816185,AM7329
-0.11382989585399628,0.09870006889104843,AM7332
-0.13649192452430725,0.05882486701011658,AM7333
-0.05758444219827652,-0.014646446332335472,AM7334
-0.07560267299413681,0.032900918275117874,AM7336
-0.1086823120713234,0.02148779109120369,AM7337
-0.08316916227340698,0.07790320366621017,AM7343
-0.04801568016409874,0.003094895277172327,AM7344
0.07365971803665161,0.03960582613945007,AM7345
-0.04635898768901825,0.04606438800692558,AM7346
-0.06090172007679939,-0.0036698030307888985,AM7353
-0.08166583627462387,-0.0415133498609066,AM7354
0.05021565034985542,-0.048091381788253784,AM7356
0.04511364921927452,-0.016725456342101097,AM7359
-0.0912603959441185,-0.04612867161631584,AM7361
-0.07761440426111221,-0.12578511238098145,AM7362
0.01732153259217739,-0.14683200418949127,AM7365
0.02710532210767269,-0.0437333807349205,AM7372
-0.020393822342157364,-0.20920264720916748,AM7373
0.042724642902612686,-0.18930521607398987,AM7380
0.017774902284145355,-0.07251091301441193,AM7382
0.03828101605176926,-0.17994606494903564,AM7383
0.017458079382777214,-0.19145359098911285,AM7384
0.00742364814504981,-0.16442923247814178,AM7385
-0.018064502626657486,-0.0927211195230484,AM7386
0.05618768930435181,-0.1912422478199005,AM7387
-0.03552170470356941,-0.27522149682044983,AM7388
-0.020889926701784134,-0.19808898866176605,AM7409
0.00943108182400465,-0.1102244183421135,AM7416
0.08265723288059235,-0.15927252173423767,AM7419
0.03877551481127739,-0.060812801122665405,AM7420
-0.0050201453268527985,-0.1765408217906952,AM7426
0.02361588180065155,-0.16931672394275665,AM7427
-0.012681642547249794,-0.1298578381538391,AM7492
-0.12717406451702118,0.011676901951432228,AM7493
-0.04143770784139633,0.10390354692935944,AM7495
-0.029215164482593536,0.15199622511863708,AM7589
0.012005944736301899,0.12213155627250671,AM7591
0.051145054399967194,-0.018765833228826523,AM7628
-0.032805342227220535,0.1215498149394989,AM7629
0.033446066081523895,0.14332132041454315,AM7633
0.05312219262123108,0.06837789714336395,AM7634
