PEER1,PEER2,PEER3,PEER4,PEER5,Donor
-0.011537556536495686,-0.07957117259502411,-0.05417357385158539,-0.02978617325425148,0.06208635866641998,AM7180
0.07907162606716156,-0.07603210210800171,0.04403657466173172,-0.02521153725683689,0.03391306474804878,AM7181
0.030608879402279854,0.01282291766256094,-0.12074858695268631,-0.08644959330558777,0.017858462408185005,AM7182
0.036686308681964874,0.07360609620809555,-0.09841986000537872,-0.03486780822277069,0.07062630355358124,AM7188
0.033207669854164124,-0.06475325673818588,-0.026830829679965973,-0.03759101778268814,0.10625791549682617,AM7189
0.02976391091942787,0.13862021267414093,-0.07509837299585342,-0.012491374276578426,-0.016977552324533463,AM7196
0.02753310650587082,0.031085651367902756,-0.09715507924556732,-0.11071982979774475,0.04912329092621803,AM7197
0.1608283370733261,8.90650087967515e-4,0.024823052808642387,0.045529916882514954,0.13089463114738464,AM7203
0.030899496749043465,0.13482354581356049,0.031876686960458755,0.17980606853961945,0.10946177691221237,AM7204
0.08599966764450073,-0.046273086220026016,-0.0018989375093951821,0.03512096777558327,0.14889179170131683,AM7205
0.1787692904472351,0.0395670011639595,0.09133587777614594,-0.1001882553100586,-0.049901675432920456,AM7208
0.20255005359649658,0.0697416216135025,0.07731232047080994,-0.0960126593708992,0.09468159079551697,AM7209
0.20496928691864014,0.039742086082696915,0.16379134356975555,-0.05501982942223549,0.03990529105067253,AM7211
0.2537539005279541,0.057429760694503784,0.16847927868366241,-0.06485970318317413,-0.03092643804848194,AM7213
0.14811734855175018,-0.017086505889892578,0.1901976466178894,-0.12622131407260895,-0.20872613787651062,AM7214
0.25628939270973206,0.07702863216400146,0.1747010350227356,-0.10798433423042297,-0.05210372805595398,AM7215
0.23544810712337494,0.056705281138420105,0.13930389285087585,-0.10132446140050888,-0.13779957592487335,AM7216
-0.08100128918886185,0.09346961975097656,0.046146973967552185,0.033916912972927094,-0.016571473330259323,AM7221
0.032678212970495224,0.13330648839473724,-0.04874970763921738,0.17137344181537628,-0.12561868131160736,AM7223
0.06375810503959656,0.08840464800596237,-0.134304940700531,0.0498826801776886,-0.06705477833747864,AM7224
0.03605040907859802,0.11143451184034348,0.011496227234601974,0.20152908563613892,-0.02950977347791195,AM7226
-0.021136807277798653,0.10785762965679169,-0.016773967072367668,0.15484237670898438,-0.01241269614547491,AM7228
0.01808188669383526,0.07231902331113815,-0.1042134091258049,-0.007113495841622353,0.05651551112532616,AM7229
0.004436961375176907,0.11414207518100739,-0.0070822280831635,0.14478148519992828,0.016176939010620117,AM7230
0.031374938786029816,0.13040831685066223,0.034203410148620605,0.13187359273433685,0.04149217903614044,AM7236
0.059769805520772934,0.1014382615685463,-0.1761530339717865,0.006346570793539286,0.05660168081521988,AM7237
0.08016245812177658,0.019046401605010033,-0.11411172896623611,0.039727404713630676,0.04156169667840004,AM7241
0.05751593038439751,0.003984059672802687,-0.14144669473171234,-0.033022552728652954,0.04105689004063606,AM7242
0.04893964156508446,-0.08775460720062256,0.09370587766170502,-0.10974821448326111,-0.05153729021549225,AM7243
0.09292159974575043,-0.057025205343961716,-0.019280504435300827,0.009053013287484646,0.04761454835534096,AM7255
0.04535138979554176,-0.02065909095108509,-0.004743644967675209,-0.1752941906452179,0.04029572382569313,AM7256
-0.04697651416063309,0.0749981626868248,-0.06501781940460205,-0.1870764195919037,0.007925364188849926,AM7260
