PEER1,PEER2,Donor
-0.005637099035084248,0.07213720679283142,AM7180
0.012593523599207401,0.0668402910232544,AM7181
0.0036567100323736668,0.037703972309827805,AM7182
0.04924146085977554,0.058515604585409164,AM7188
-0.03635713830590248,-0.13391698896884918,AM7189
-0.021548191085457802,0.05389193072915077,AM7196
0.007139501627534628,0.08498631417751312,AM7197
0.08377570658922195,-0.09937523305416107,AM7203
-0.013322063721716404,0.13912175595760345,AM7204
0.004162864293903112,0.12689423561096191,AM7205
0.2682782709598541,-0.011209763586521149,AM7208
0.2558278441429138,0.004346403293311596,AM7209
0.32137253880500793,-0.035351041704416275,AM7211
0.306454598903656,-0.044680774211883545,AM7213
0.2477930337190628,-0.08709827810525894,AM7214
0.32635247707366943,-0.06837225705385208,AM7215
0.2742499113082886,-0.031104670837521553,AM7216
-0.044899169355630875,-0.10434793680906296,AM7221
-0.03909045085310936,-0.10631605237722397,AM7223
0.019817650318145752,-0.11574053019285202,AM7224
0.021014496684074402,0.03474719822406769,AM7226
0.032552264630794525,-0.10477647185325623,AM7228
0.016226205974817276,0.07860001176595688,AM7229
0.10569343715906143,0.04624324291944504,AM7230
-0.01369614340364933,-0.05630069226026535,AM7236
0.001452278927899897,0.022447634488344193,AM7237
0.061656463891267776,0.07905176281929016,AM7241
0.09281839430332184,0.07762858271598816,AM7242
0.017612196505069733,-0.12939678132534027,AM7243
0.06492128223180771,0.11197414249181747,AM7255
0.09263795614242554,0.07531149685382843,AM7256
-0.053390536457300186,-0.13717681169509888,AM7260
0.032658759504556656,-0.08529580384492874,AM7261
0.0066088964231312275,-0.07373309880495071,AM7266
-0.018429400399327278,-0.07577765733003616,AM7269
-0.009871846064925194,-0.1251067966222763,AM7270
0.04906327649950981,0.0854354128241539,AM7272
0.004860349930822849,0.11022930592298508,AM7273
0.009142039343714714,-0.04006895050406456,AM7277
-0.026348382234573364,-0.09150537103414536,AM7278
-0.07315842062234879,-0.07855886220932007,AM7280
-0.09238844364881516,-0.04705313593149185,AM7283
-0.07238192856311798,0.10795900225639343,AM7284
0.013235238380730152,0.14365890622138977,AM7285
-0.006450519897043705,-0.09798094630241394,AM7294
-0.02052118256688118,0.014950410462915897,AM7295
-0.11200542002916336,-0.12456884235143661,AM7302
-0.07550257444381714,0.0043053897097706795,AM7303
-0.05062064900994301,0.06844895333051682,AM7304
0.032844945788383484,-0.0700274333357811,AM7312
-0.08347510546445847,-0.06378451734781265,AM7313
-0.06815783679485321,-0.06460154801607132,AM7318
0.0010634958744049072,0.13103555142879486,AM7319
-0.025815118104219437,-0.11991340667009354,AM7320
-0.11065082252025604,-0.11938775330781937,AM7321
-0.04557724669575691,0.11917872726917267,AM7323
-0.04364904761314392,0.036624595522880554,AM7325
-0.08369915932416916,0.04714884236454964,AM7327
-0.08115871995687485,0.13515782356262207,AM7328
-0.03885440528392792,0.12719327211380005,AM7329
-0.10232571512460709,-0.06546898931264877,AM7332
-0.08190377801656723,0.12648078799247742,AM7333
-0.006529629696160555,0.15140080451965332,AM7334
-0.09884165227413177,-0.06315892934799194,AM7336
-0.09176132082939148,-0.015385778620839119,AM7337
-0.04712432995438576,0.13512194156646729,AM7343
-0.1029098853468895,0.006995601579546928,AM7344
-0.0021370681934058666,-0.12353691458702087,AM7345
-0.05027887225151062,-0.06604025512933731,AM7346
-0.016315579414367676,0.12213361263275146,AM7353
-0.09916631877422333,0.041318103671073914,AM7354
0.047900017350912094,0.1246998980641365,AM7356
0.009323861449956894,-0.05503004789352417,AM7359
-0.09371770918369293,-0.03179425746202469,AM7361
-0.14995750784873962,-0.0946299135684967,AM7362
-0.043786220252513885,0.09870704263448715,AM7365
-0.02439434826374054,-0.03582014888525009,AM7372
-0.007322278805077076,0.08345978707075119,AM7373
0.03103775717318058,0.11797644942998886,AM7380
-0.018785417079925537,0.08668609708547592,AM7382
-0.06963030993938446,0.04070322960615158,AM7383
-0.017199473455548286,0.052286747843027115,AM7384
-0.0046657235361635685,0.0655781552195549,AM7385
-0.041284285485744476,-0.004606917034834623,AM7386
5.737289029639214e-5,0.11857341229915619,AM7387
-0.008471613749861717,0.03115982562303543,AM7388
-0.030261017382144928,0.15003594756126404,AM7409
-0.08663769066333771,-0.06805619597434998,AM7416
-0.02673420123755932,0.048660170286893845,AM7419
-0.010091488249599934,0.058224067091941833,AM7420
-0.004301178269088268,0.09681741893291473,AM7426
-0.0262970719486475,0.14662384986877441,AM7427
-0.09258480370044708,-0.08405475318431854,AM7492
-0.015543008223176003,-0.11332912743091583,AM7493
-0.01146009098738432,-0.15742813050746918,AM7495
-0.013467809185385704,-0.18886028230190277,AM7589
-0.017056109383702278,-0.039952121675014496,AM7591
-0.014169053174555302,-0.1554855853319168,AM7628
-0.007911882363259792,-0.12836198508739471,AM7629
0.006474618334323168,-0.16178524494171143,AM7633
-0.0043073478154838085,-0.03143109008669853,AM7634
