gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
ENSG00000000003,6593.861431980327,-1.3698178690798302,0.039711102170028385,7.900042423177705e-262,2.5727521669172984e-260,TSPAN6,
ENSG00000000005,3.0911000644929385,-1.9515097259344099,0.2518165633600609,8.30757426678088e-17,1.7940016586564723e-16,TNMD,
ENSG00000000419,2141.1807463986997,-0.03793935826628749,0.025161207002974677,0.1312921200817344,0.15083072487832075,DPM1,
ENSG00000000457,1851.3920368815113,0.40030079044638434,0.020464890714053646,2.8677978321298775e-85,1.9621092697840412e-84,SCYL3,
ENSG00000000460,625.6528519688944,1.2724260786668165,0.05918007764182347,2.979895040119463e-103,2.5339566059452918e-102,C1orf112,
ENSG00000000938,104.86144166240867,2.858496212193584,0.11182555868560348,2.582752206703693e-148,3.550209765523412e-147,FGR,
ENSG00000000971,369166.4937946721,-0.7656493785877159,0.06425663088989632,6.0507207135451665e-33,1.883736453769792e-32,CFH,
ENSG00000001036,10736.083054925903,-0.3800423841542755,0.03393808461939255,3.6013632300837013e-29,1.0387932161441432e-28,FUCA2,
ENSG00000001084,2447.2499118264523,-0.7537443803932145,0.051844725194229696,2.998416416930036e-48,1.2216866172298792e-47,GCLC,
ENSG00000001167,3325.1233431698347,0.1292371660549194,0.027927815951654708,3.6543912990307215e-6,5.536734924627837e-6,NFYA,
ENSG00000001460,492.4084116689762,-0.646365991551665,0.033399948413456934,1.2158668805669226e-83,8.168108300799304e-83,STPG1,
ENSG00000001461,2572.7439549184855,-0.5809613165921854,0.0303261781712334,6.35283778878995e-82,4.149668163116139e-81,NIPAL3,
ENSG00000001497,1671.6437189533353,-0.26659358361513075,0.02971372548734133,2.7260870865190145e-19,6.30260235829816e-19,LAS1L,
ENSG00000001561,972.1480702451048,0.40576961980712634,0.08170017370644124,5.976690049207868e-7,9.370872439534545e-7,ENPP4,
ENSG00000001617,70.41863532303412,-0.42512662192603834,0.11940236378587793,2.966178620186264e-4,4.115801479881211e-4,SEMA3F,
ENSG00000001626,5.525589124662355,3.6084966286457356,0.28599308698889736,9.21407290770956e-39,3.197214681666949e-38,CFTR,
ENSG00000001629,5812.433116169365,0.02132346459871718,0.020256510715168378,0.29236120693643186,0.32237790366801217,ANKIB1,
ENSG00000001630,7225.158594144198,0.37646010604782004,0.049048207015514926,1.4506062806382767e-14,2.9357854250761516e-14,CYP51A1,
ENSG00000001631,4003.218802346326,-0.04175497058008513,0.020838075642529586,0.04497914748378275,0.05386589350700541,KRIT1,
ENSG00000002016,833.0820788785306,-0.4398970445573775,0.041760628535980324,4.4654081480034263e-26,1.2078802748663034e-25,RAD52,
ENSG00000002079,92.93497652872988,5.8901993369083865,0.15906658504949348,0,0,MYH16,
ENSG00000002330,186.19810211435995,-0.6846242184293807,0.06454095821503167,1.6992358838440916e-26,4.640594301354799e-26,BAD,
ENSG00000002549,3461.6299857479025,1.010453978735217,0.08328861776759508,1.167053698855374e-34,3.7469434303179957e-34,LAP3,
ENSG00000002586,16958.51532624616,-0.8696186438438355,0.05846986015205368,2.9647974485572487e-50,1.2439690426040713e-49,CD99,
ENSG00000002587,170.9555300076927,0.3226902142730756,0.10167629167614078,0.001235455852215311,0.0016577348996866745,HS3ST1,
ENSG00000002745,8.134610969374924,-0.710100031188157,0.16242079960794234,7.833472318869738e-6,1.1703515496053677e-5,WNT16,
ENSG00000002746,289.36592926097495,-0.7124525760635296,0.06963447041129954,7.399367928591349e-25,1.9495623314247062e-24,HECW1,
ENSG00000002822,288.666049287639,0.304344411534399,0.06852349549243499,8.122642042510069e-6,1.2125577195144416e-5,MAD1L1,
ENSG00000002834,9436.17301953716,-0.03134306442320708,0.028315530800791747,0.26778009618001536,0.29662297517727765,LASP1,
ENSG00000002919,720.4677842576783,0.5005242076681274,0.034429090780082466,5.554069763448199e-48,2.2518642512579356e-47,SNX11,
ENSG00000002933,98.73693113680021,-3.17463583315569,0.20321294970075965,1.504925173848676e-56,6.95865146543973e-56,TMEM176A,
ENSG00000003056,8250.848464655892,-0.18191986752233066,0.0229604092057718,2.2359495450068217e-15,4.6383190789799044e-15,M6PR,
ENSG00000003096,1131.3212694499823,-0.48634323140178276,0.06790375110024047,5.557165812301772e-13,1.0746495385883558e-12,KLHL13,
ENSG00000003137,4447.441641418668,0.8892855095737141,0.08908393970733312,8.440572344584914e-24,2.1685576225900897e-23,CYP26B1,
ENSG00000003147,270.1619423131551,-0.15458596840222183,0.08467755867317366,0.06635907420125593,0.07845144079013876,ICA1,
ENSG00000003249,41.29509939385588,-0.8841036118822431,0.13084099201822288,6.873504640762535e-12,1.2858279424741279e-11,DBNDD1,
ENSG00000003393,2558.506403221218,0.04593332659993173,0.026695964774102375,0.0851892370192856,0.09976534221269949,ALS2,
ENSG00000003400,96.90557262935236,0.3438028767290344,0.09075061807033259,1.2996328812371545e-4,1.8386086973796474e-4,CASP10,
ENSG00000003402,14467.78465693389,1.9967868109719469,0.04296528298059068,0,0,CFLAR,
ENSG00000003436,7674.657414277516,0.8372587293565434,0.08162571834962198,5.517711942183518e-25,1.4582295144467552e-24,TFPI,
ENSG00000003509,1320.660302286421,-0.11126344420677545,0.025984953257110383,1.829981688040574e-5,2.685707255295858e-5,NDUFAF7,
ENSG00000003756,9590.958301079983,-0.3832017519494474,0.032281347816813646,1.489182399736525e-32,4.604632051729136e-32,RBM5,
ENSG00000003987,1460.2424585991694,3.919365847765747,0.07303738414946954,0,0,MTMR7,
