ENSEMBL,HGNC,CLUSTER,PVAL,LFC_3hr,LFC_6hr,LFC_18h,ZSCR_3hr,ZSCR_6hr,ZSCR_18h,RAW_3hr_Ctr_R1,RAW_3hr_Ctr_R2,RAW_3hr_Ctr_R3,RAW_6hr_Ctr_R1,RAW_6hr_Ctr_R2,RAW_6hr_Ctr_R3,RAW_18h_Ctr_R1,RAW_18h_Ctr_R2,RAW_18h_Ctr_R3,RAW_3hr_FnF_R1,RAW_3hr_FnF_R2,RAW_3hr_FnF_R3,RAW_6hr_FnF_R1,RAW_6hr_FnF_R2,RAW_6hr_FnF_R3,RAW_18h_FnF_R1,RAW_18h_FnF_R2,RAW_18h_FnF_R3,RAAK_PVAL,RAAK_FC,RAAK_LFC
ENSG00000084636,COL16A1,static,0.008602116,0.072926832,0.143839932,-0.018609338,0.20996815,0.357934409,-0.074592723,10888,10313,10098,5053,7882,6631,2075,5664,4906,8190,10834,7118,3875,8620,6237,1107,4611,2844,0.000322,0.65,-0.621121596
ENSG00000106538,RARRES2,static,0.000757797,0.012576037,0.454713748,0.533246174,0.004487875,0.993999327,1.008354004,527,429,535,228,300,322,128,480,466,393,364,389,211,372,442,105,733,374,6.06E-08,0.44,-1.17609021
ENSG00000107623,GDF10,down.late,1.09E-82,-0.098815355,-0.752655798,-4.929344152,-0.05750328,-0.351321589,-2.082707698,18717,9858,3520,8975,8670,2255,3765,5088,2139,11383,9314,2027,2750,5665,1157,56,135,55,1.99E-05,0.52,-0.946622013
ENSG00000112280,COL9A1,static,0.001778135,0.086843222,0.136543603,-0.788993945,0.156224719,0.200484612,-1.078281287,2406,1120,2043,1170,1128,1708,677,666,1066,1876,1213,1398,828,1133,1569,107,408,559,0.000267,0.46,-1.121029018
ENSG00000113739,STC2,static,2.96E-15,0.001596066,-0.396354863,0.710185863,0.042582251,-0.649911122,1.131295262,1649,2495,4797,874,1308,3198,700,2200,4516,1800,2183,2248,476,1139,1308,767,2792,4755,1.45E-05,0.59,-0.766063866
ENSG00000121005,CRISPLD1,down.late,4.40E-06,-0.160381927,-1.355436721,-3.02425896,-0.304504559,-0.947249731,-1.508539336,20688,4461,3686,10032,6249,3086,5244,932,849,7388,2617,2126,903,1604,1119,54,108,162,0.000142,0.4,-1.319505185
ENSG00000122756,CNTFR,down.late,2.61E-15,-0.221973175,-0.511998982,-1.650364658,-0.339807131,-0.667241382,-1.690052218,384,377,355,172,362,231,93,160,128,210,284,219,70,241,150,11,31,24,1.20E-06,0.55,-0.858060881
ENSG00000137285,TUBB2B,static,4.62E-10,0.528856551,0.368804921,-0.746608303,0.857773803,0.641310202,-0.995742823,456,774,908,187,680,401,77,294,394,709,818,1123,228,510,774,37,68,149,2.65E-06,0.65,-0.619689479
ENSG00000138449,SLC40A1,down.early,7.12E-16,-0.797354768,-3.001301713,-2.547724169,-0.746955323,-1.947988173,-1.582751272,27053,12352,13869,16438,22972,13210,6842,5366,4477,8527,4453,4207,794,2469,1809,322,737,866,0.000398,0.66,-0.597004123
ENSG00000141469,SLC14A1,down.late,1.83E-14,-0.623035274,-2.242528239,-4.375920959,-0.53403587,-1.195352084,-2.00364414,2885,861,908,2294,1116,909,2634,1016,777,871,508,196,120,239,166,31,71,69,0.000102,0.63,-0.669604881
ENSG00000162493,PDPN,up.early,2.86E-91,1.05533432,1.594347591,1.844901927,1.318977714,1.973083627,2.267513818,10816,14447,19101,4996,10335,16521,2179,13191,12147,20446,31841,27758,12659,41122,38521,6247,29286,27858,7.00E-04,0.66,-0.590145438
ENSG00000162998,FRZB,static,0.007904406,0.033339672,0.180214048,-0.584003276,0.0518647,0.268144348,-0.854089904,25480,15891,15271,11948,13023,11091,7594,12979,9828,18464,15082,10444,8234,15338,11138,2251,7299,4707,1.28E-06,0.39,-1.347330392
ENSG00000165623,UCMA,static,0.343138449,0.034089723,-0.020169185,-0.873594211,0.197162936,-0.063586156,-1.381889318,29,32,31,18,22,25,17,18,15,37,19,23,12,15,26,3,3,9,0.0088,0.54,-0.875850617
ENSG00000166923,GREM1,down.late,3.59E-32,-0.191460102,-1.110742099,-5.320096057,-0.183690357,-0.627080422,-2.505946496,5586,2521,3237,2138,3466,2215,682,2078,4389,3214,1964,1605,514,1332,1139,25,24,38,3.84E-05,0.53,-0.906516691
ENSG00000171408,PDE7B,down.late,2.67E-10,-0.342919255,-0.482804714,-1.46512482,-0.48956505,-0.628609993,-1.812489718,1765,861,875,700,749,812,513,1575,1220,484,638,405,226,542,298,37,189,161,2.66E-06,0.66,-0.59623094
ENSG00000172348,RCAN2,down.late,3.81E-07,0.000490904,-1.348949988,-3.273682299,0.020104271,-1.142673272,-1.989655399,2687,799,710,1434,2526,1178,649,715,467,1554,733,656,139,660,403,11,65,52,5.33E-07,0.51,-0.974081497
ENSG00000179399,GPC5,static,0.000102216,0.140417084,0.479989526,0.574612721,0.465353174,1.504483504,1.707675492,194,248,232,86,189,206,44,216,182,169,265,152,98,266,209,48,189,187,1.46E-06,0.6,-0.733084121
ENSG00000186510,CLCNKA,static,0.456244283,0.211615821,-0.158307627,-0.391285128,0.550658946,-0.512889026,-0.928061835,15,2,2,7,3,2,4,5,1,9,8,6,2,4,0,1,0,1,0.00383,0.6,-0.729785836
ENSG00000189058,APOD,static,0.213044204,0.01399774,0.325355417,-0.132299429,0.005701555,0.32978647,-0.135393599,57802,14583,19948,23650,11550,14116,12155,16611,16133,41643,14003,12822,19738,15609,14413,7413,10855,8851,0.000288,0.62,-0.699783631
ENSG00000198373,WWP2,down.early,1.46E-37,-1.502743129,-2.283442764,-2.351219794,-1.304638749,-1.919926891,-1.990293076,24709,22111,19362,11126,17209,9722,4770,14539,15017,4414,7580,4882,816,3590,2447,503,1877,1969,0.000159,0.63,-0.677745138
ENSG00000204248,COL11A2,static,0.009729712,0.090268303,0.295921325,0.495041959,0.105261477,0.327446319,0.535009095,52016,21276,34991,23701,16267,21230,11521,12341,15714,40121,21935,24073,19104,19521,22557,8728,16910,14931,3.04E-06,0.63,-0.669102483
ENSG00000215644,GCGR,static,NA,0.001329352,-0.01262822,0.314023686,0.191915199,0.225218261,1.957649732,0,1,1,0,1,2,0,0,0,1,0,1,1,0,1,1,0,3,0.00309,0.66,-0.60538632
